RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           73     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72   83     0     0  con    1  1.5D-01  5.2D-02  4.951D-03  1.957D-01
   73   84     0     0  con    0  1.0D+00  5.5D-02  2.355D-03  1.957D-01
   74   85     0     0  con    0  1.0D+00  8.9D-02  2.401D-03  1.957D-01
   75   87     0     0  con    1  5.0D+00  1.2D-01  5.549D-03  1.957D-01
   76   88     0     0  con    0  1.0D+00  3.7D-01  1.289D-02  1.956D-01
   77   89     0     0  con    0  1.0D+00  3.0D-01  7.905D-03  1.955D-01
   78   90     0     0  con    0  1.0D+00  1.2D-01  1.636D-03  1.954D-01
   79   92     0     0  con    1  4.7D-01  2.2D-01  2.352D-03  1.954D-01
   80   93     0     0  con    0  1.0D+00  8.7D-02  2.690D-03  1.954D-01
   81   94     0     0  con    0  1.0D+00  1.3D-01  1.929D-03  1.954D-01
   82   95     0     0  con    0  1.0D+00  1.6D-01  1.378D-03  1.953D-01
   83   97     0     0  con    1  1.3D-01  1.0D-01  2.766D-03  1.953D-01
   84   98     0     0  con    0  1.0D+00  8.9D-02  1.675D-03  1.953D-01
   85   99     0     0  con    0  1.0D+00  2.3D-01  4.683D-03  1.953D-01
   86  100     0     0  con    0  1.0D+00  1.7D-01  4.873D-03  1.953D-01
   87  101     0     0  con    0  1.0D+00  9.9D-02  1.193D-03  1.952D-01
   88  102     0     0  con    0  1.0D+00  5.1D-02  5.401D-04  1.952D-01
   89  103     0     0  con    0  1.0D+00  1.7D-02  1.053D-03  1.952D-01
   90  104     0     0  con    0  1.0D+00  4.9D-02  7.650D-04  1.952D-01
   91  106     0     0  con    1  3.8D-01  8.1D-02  8.449D-04  1.952D-01
   92  107     0     0  con    0  1.0D+00  7.2D-02  5.653D-04  1.952D-01
   93  108     0     0  con    0  1.0D+00  4.8D-02  1.270D-03  1.952D-01
   94  110     0     0  con    1  4.4D-01  3.5D-02  3.503D-04  1.952D-01
   95  111     0     0  con    0  1.0D+00  5.1D-02  1.772D-03  1.952D-01
   96  112     0     0  con    0  1.0D+00  5.1D-02  2.394D-03  1.952D-01
   97  114     0     0  con    1  1.7D-01  2.7D-02  1.259D-03  1.952D-01
   98  115     0     0  con    0  1.0D+00  9.6D-03  6.926D-04  1.952D-01
   99  116     0     0  con    0  1.0D+00  1.2D-02  3.532D-04  1.952D-01
  100  117     0     0  con    0  1.0D+00  1.6D-02  8.978D-04  1.952D-01
  101  118     0     0  con    0  1.0D+00  1.7D-02  6.555D-04  1.952D-01
  102  119     0     0  con    0  1.0D+00  4.1D-02  4.159D-04  1.952D-01
  103  120     0     0  con    0  1.0D+00  6.1D-02  1.282D-03  1.952D-01
  104  121     0     0  con    0  1.0D+00  1.4D-02  5.306D-04  1.952D-01
  105  122     0     0  con    0  1.0D+00  1.4D-02  1.909D-04  1.952D-01
  106  123     0     0  con    0  1.0D+00  5.8D-03  2.112D-04  1.952D-01
  107  124     0     0  con    0  1.0D+00  1.4D-02  1.714D-04  1.952D-01
  108  126     0     0  con    1  3.0D-01  1.0D-02  5.492D-04  1.952D-01
  109  127     0     0  con    0  1.0D+00  8.0D-03  4.322D-04  1.952D-01
  110  129     0     0  con    1  3.2D-01  1.3D-02  4.928D-04  1.952D-01
  111  130     0     0  con    0  1.0D+00  1.6D-02  3.238D-04  1.952D-01
  112  131     0     0  con    0  1.0D+00  1.7D-02  3.477D-04  1.952D-01
  113  132     0     0  con    0  1.0D+00  6.0D-02  5.047D-04  1.952D-01
  114  133     0     0  con    0  1.0D+00  1.3D-02  4.351D-04  1.952D-01
  115  134     0     0  con    0  1.0D+00  4.2D-02  1.372D-03  1.952D-01
  116  135     0     0  con    0  1.0D+00  1.3D-01  2.380D-03  1.952D-01
  117  136     0     0  con    0  1.0D+00  4.2D-02  2.365D-03  1.952D-01
  118  137     0     0  con    0  1.0D+00  3.4D-02  1.491D-03  1.952D-01
  119  138     0     0  con    0  1.0D+00  1.9D-02  1.419D-04  1.952D-01
  120  139     0     0  con    0  1.0D+00  1.2D-02  1.681D-04  1.952D-01
  121  141     0     0  con    1  3.8D-02  6.6D-03  4.694D-04  1.952D-01
  122  143     0     0  con    1  5.0D-01  1.9D-02  6.132D-04  1.952D-01
  123  144     0     0  con    0  1.0D+00  1.2D-02  2.365D-04  1.952D-01
  124  145     0     0  con    0  1.0D+00  1.6D-02  6.389D-04  1.952D-01
  125  146     0     0  con    0  1.0D+00  4.2D-03  4.099D-04  1.952D-01
  126  147     0     0  con    0  1.0D+00  3.4D-03  2.261D-04  1.952D-01
  127  148     0     0  con    0  1.0D+00  4.5D-03  3.882D-04  1.952D-01
  128  149     0     0  con    0  1.0D+00  1.0D-02  8.065D-04  1.952D-01
  129  150     0     0  con    0  1.0D+00  7.8D-03  7.417D-04  1.952D-01
  130  152     0     0  con    1  2.1D-01  7.0D-03  6.727D-04  1.952D-01
  131  153     0     0  con    0  1.0D+00  1.3D-02  3.290D-04  1.952D-01
  132  154     0     0  con    0  1.0D+00  1.7D-02  1.808D-04  1.952D-01
  133  155     0     0  con    0  1.0D+00  4.3D-03  1.054D-04  1.952D-01
  134  156     0     0  con    0  1.0D+00  1.0D-02  2.254D-04  1.952D-01
  135  158     0     0  con    1  3.2D-01  1.2D-02  2.700D-04  1.952D-01
  136  160     0     0  con    1  1.3D-01  3.1D-03  9.992D-05  1.952D-01

CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL            

 Total User time 0.000E+00 seconds.

